用户码,性别,累计消费次数,价值组别,页面版本,是否购买,retention_7
621,男,38,高,新页面,否,TRUE
622,女,11,高,旧页面,是,FALSE
623,女,98,高,新页面,是,FALSE
624,男,4,高,新页面,否,FALSE
625,男,5,高,旧页面,否,FALSE
626,男,3,高,新页面,否,FALSE
627,男,50,高,旧页面,否,FALSE
628,男,149,高,旧页面,否,TRUE
629,女,20,高,旧页面,是,FALSE
630,男,1,高,旧页面,否,FALSE
631,女,30,高,新页面,是,FALSE
632,男,4,高,新页面,否,FALSE
633,女,53,高,新页面,是,FALSE
634,男,5,高,新页面,否,FALSE
635,女,113,高,旧页面,是,FALSE
636,男,2,高,新页面,否,FALSE
637,男,2,高,新页面,否,FALSE
638,男,0,高,旧页面,否,FALSE
639,女,25,高,新页面,是,FALSE
640,男,12,高,旧页面,否,FALSE
641,男,59,高,新页面,否,FALSE
642,男,15,高,旧页面,否,FALSE
643,女,106,高,旧页面,是,TRUE
644,男,2,高,新页面,否,FALSE
645,男,7,高,新页面,否,FALSE
646,男,6,高,新页面,否,FALSE
647,女,59,高,旧页面,是,FALSE
648,男,47,高,旧页面,否,FALSE
649,男,1,高,新页面,否,FALSE
650,女,34,高,旧页面,是,FALSE
651,男,4,高,旧页面,否,FALSE
652,男,12,高,旧页面,否,FALSE
653,女,15,高,旧页面,是,FALSE
654,男,32,高,新页面,否,FALSE
655,男,0,高,旧页面,否,FALSE
656,男,2,高,旧页面,否,FALSE
657,女,34,高,新页面,是,FALSE
658,男,11,高,旧页面,否,FALSE
659,男,16,高,新页面,否,FALSE
660,男,2,高,新页面,否,FALSE
661,女,128,高,旧页面,是,TRUE
662,男,9,高,新页面,否,FALSE
663,男,0,高,新页面,否,FALSE
664,男,34,高,旧页面,否,TRUE
665,男,7,高,新页面,否,FALSE
666,男,7,高,新页面,否,FALSE
667,女,215,高,新页面,是,TRUE
668,男,1,高,旧页面,否,FALSE
669,男,0,高,新页面,否,FALSE
670,女,231,高,新页面,是,FALSE
671,男,5,高,旧页面,否,FALSE
672,男,16,高,新页面,否,FALSE
673,男,34,高,旧页面,否,FALSE
674,男,2,高,新页面,否,FALSE
675,女,34,高,旧页面,是,FALSE
676,男,2,高,旧页面,否,FALSE
677,男,12,高,新页面,否,FALSE
678,男,6,高,新页面,否,FALSE
679,女,41,高,旧页面,是,FALSE
680,男,36,高,新页面,否,FALSE
681,男,13,高,新页面,否,FALSE
682,男,3,高,旧页面,否,FALSE
683,女,36,高,新页面,是,TRUE
684,男,28,高,新页面,否,FALSE
685,女,11,高,旧页面,是,FALSE
686,男,12,高,新页面,否,FALSE
687,男,7,高,旧页面,否,FALSE
688,男,14,高,新页面,否,FALSE
689,女,3,高,旧页面,是,FALSE
690,男,0,高,新页面,否,FALSE
691,男,5,高,新页面,否,FALSE
692,女,129,高,新页面,是,TRUE
693,男,95,高,新页面,否,TRUE
694,女,96,高,新页面,是,FALSE
695,女,160,高,旧页面,是,FALSE
696,男,0,高,旧页面,否,FALSE
697,男,17,高,新页面,否,FALSE
698,女,24,高,新页面,是,FALSE
699,女,11,高,新页面,是,FALSE
700,男,6,高,新页面,否,FALSE
701,男,26,高,新页面,否,FALSE
702,女,110,高,新页面,是,TRUE
703,女,61,高,旧页面,是,TRUE
704,男,5,高,旧页面,否,FALSE
705,男,15,高,旧页面,否,FALSE
706,男,3,高,新页面,否,FALSE
707,男,12,高,旧页面,否,FALSE
708,男,1,高,新页面,否,FALSE
709,女,65,高,新页面,是,FALSE
710,男,2,高,新页面,否,FALSE
711,男,18,高,新页面,否,FALSE
712,女,275,高,新页面,是,TRUE
713,男,19,高,旧页面,否,TRUE
714,男,26,高,旧页面,否,FALSE
715,男,46,高,旧页面,否,FALSE
716,男,3,高,新页面,否,FALSE
717,女,40,高,旧页面,是,FALSE
718,男,13,高,新页面,否,FALSE
719,男,8,高,新页面,否,FALSE
720,男,2,高,新页面,否,FALSE
721,男,3,高,新页面,否,FALSE
722,男,4,高,新页面,否,FALSE
723,女,37,高,旧页面,是,FALSE
724,男,11,高,新页面,否,FALSE
725,女,22,高,旧页面,是,FALSE
726,男,55,高,新页面,否,TRUE
727,女,20,高,旧页面,是,FALSE
728,女,197,高,旧页面,是,TRUE
729,男,44,高,新页面,否,FALSE
730,女,133,高,旧页面,是,FALSE
731,男,0,高,新页面,否,FALSE
732,男,2,高,新页面,否,FALSE
733,男,21,高,旧页面,否,FALSE
734,男,2,高,旧页面,否,FALSE
735,男,5,高,旧页面,否,FALSE
736,男,2,高,新页面,否,FALSE
737,男,14,高,新页面,否,FALSE
738,男,0,高,旧页面,否,FALSE
739,男,44,高,旧页面,否,TRUE
740,男,14,高,旧页面,否,FALSE
741,女,76,高,旧页面,是,FALSE
742,女,52,高,旧页面,是,FALSE
743,女,88,高,新页面,是,TRUE
744,女,36,高,旧页面,是,FALSE
745,女,66,高,新页面,是,FALSE
746,男,70,高,新页面,否,FALSE
747,男,2,高,旧页面,否,FALSE
748,男,44,高,新页面,否,FALSE
749,女,98,高,新页面,是,FALSE
750,男,18,高,旧页面,否,FALSE
751,男,9,高,旧页面,否,FALSE
752,男,6,高,新页面,否,FALSE
753,女,3,高,旧页面,是,FALSE
754,男,2,高,新页面,否,FALSE
755,男,54,高,新页面,否,FALSE
756,男,4,高,新页面,否,FALSE
757,男,13,高,新页面,否,TRUE
758,男,0,高,旧页面,否,FALSE
759,男,8,高,新页面,否,FALSE
760,女,10,高,旧页面,是,FALSE
761,男,18,高,旧页面,否,FALSE
762,男,0,高,新页面,否,FALSE
763,男,33,高,旧页面,否,FALSE
764,男,9,高,新页面,否,FALSE
765,男,6,高,旧页面,否,TRUE
766,男,2,高,旧页面,否,FALSE
767,女,79,高,旧页面,是,TRUE
768,男,9,高,新页面,否,FALSE
769,男,1,高,旧页面,否,FALSE
770,女,35,高,新页面,是,TRUE
771,男,4,高,旧页面,否,FALSE
772,男,9,高,旧页面,否,FALSE
773,女,43,高,旧页面,是,FALSE
774,女,42,高,旧页面,是,FALSE
775,女,6,高,新页面,是,TRUE
776,女,282,高,旧页面,是,TRUE
777,男,11,高,旧页面,否,FALSE
778,男,42,高,新页面,否,TRUE
779,男,16,高,旧页面,否,FALSE
780,男,132,高,新页面,否,TRUE
781,女,49,高,旧页面,是,TRUE
782,女,95,高,旧页面,是,TRUE
783,男,3,高,新页面,否,FALSE
784,女,183,高,旧页面,是,FALSE
785,男,24,高,新页面,否,FALSE
786,女,112,高,新页面,是,TRUE
787,女,70,高,旧页面,是,TRUE
788,女,332,高,旧页面,是,TRUE
789,女,100,高,新页面,是,TRUE
790,男,3,高,旧页面,否,FALSE
791,男,4,高,新页面,否,FALSE
792,男,0,高,旧页面,否,FALSE
793,女,27,高,旧页面,是,FALSE
794,女,41,高,新页面,是,FALSE
795,女,81,高,旧页面,是,TRUE
796,女,49,高,新页面,是,FALSE
797,女,142,高,旧页面,是,TRUE
798,男,31,高,旧页面,否,FALSE
799,女,5,高,旧页面,是,FALSE
800,男,35,高,新页面,否,FALSE
801,男,4,高,新页面,否,FALSE
802,男,3,高,旧页面,否,FALSE
803,男,16,高,旧页面,否,FALSE
804,男,12,高,旧页面,否,FALSE
805,女,48,高,新页面,是,FALSE
806,女,8,高,旧页面,是,FALSE
807,女,6,高,新页面,是,FALSE
808,男,13,高,新页面,否,FALSE
809,女,35,高,新页面,是,FALSE
810,男,4,高,旧页面,否,FALSE
811,女,9,高,新页面,是,FALSE
812,女,7,高,旧页面,是,FALSE
813,女,27,高,新页面,是,FALSE
814,女,83,高,新页面,是,FALSE
815,男,3,高,新页面,否,FALSE
816,男,3,高,旧页面,否,FALSE
817,男,3,高,新页面,否,FALSE
818,男,143,高,旧页面,否,TRUE
819,女,39,高,新页面,是,TRUE
820,女,114,高,新页面,是,TRUE
821,女,71,高,旧页面,是,FALSE
822,男,13,高,旧页面,否,FALSE
823,女,63,高,新页面,是,TRUE
824,女,75,高,旧页面,是,FALSE
825,女,27,高,旧页面,是,FALSE
826,男,15,高,新页面,否,FALSE
827,男,8,高,旧页面,否,FALSE
828,女,17,高,新页面,是,FALSE
829,女,95,高,旧页面,是,FALSE
830,男,6,高,新页面,否,FALSE
831,女,186,高,旧页面,是,TRUE
832,女,50,高,旧页面,是,FALSE
833,女,129,高,旧页面,是,FALSE
834,男,1,高,新页面,否,FALSE
835,女,4,高,新页面,是,FALSE
836,男,30,高,新页面,否,FALSE
837,男,1,高,旧页面,否,FALSE
838,男,3,高,新页面,否,FALSE
839,女,164,高,旧页面,是,TRUE
840,女,1,高,新页面,是,FALSE
841,男,9,高,新页面,否,FALSE
842,男,6,高,新页面,否,FALSE
843,男,78,高,新页面,否,TRUE
844,女,249,高,旧页面,是,TRUE
845,男,34,高,新页面,否,FALSE
846,女,29,高,旧页面,是,FALSE
847,女,18,高,新页面,是,FALSE
848,男,4,高,新页面,否,FALSE
849,男,14,高,旧页面,否,FALSE
850,男,2,高,旧页面,否,FALSE
851,男,8,高,旧页面,否,TRUE
852,女,47,高,新页面,是,FALSE
853,男,3,高,新页面,否,FALSE
854,女,345,高,旧页面,是,FALSE
855,男,1,高,新页面,否,FALSE
856,女,50,高,旧页面,是,TRUE
857,男,13,高,旧页面,否,FALSE
858,女,57,高,新页面,是,FALSE
859,男,7,高,旧页面,否,FALSE
860,女,13,高,旧页面,是,FALSE
861,男,27,高,旧页面,否,FALSE
862,女,59,高,新页面,是,FALSE
863,女,16,高,新页面,是,TRUE
864,男,51,高,旧页面,否,FALSE
865,男,4,高,旧页面,否,FALSE
866,男,7,高,新页面,否,FALSE
867,男,45,高,新页面,否,FALSE
868,女,28,高,旧页面,是,FALSE
869,男,82,高,旧页面,否,TRUE
870,女,394,高,旧页面,是,TRUE
871,男,5,高,旧页面,否,FALSE
872,女,227,高,新页面,是,TRUE
873,男,258,高,新页面,否,TRUE
874,女,56,高,旧页面,是,FALSE
875,男,0,高,新页面,否,FALSE
876,男,52,高,新页面,否,FALSE
877,男,8,高,旧页面,否,FALSE
878,男,0,高,旧页面,否,FALSE
879,男,5,高,旧页面,否,FALSE
880,男,8,高,新页面,否,FALSE
881,男,1,高,旧页面,否,FALSE
882,女,19,高,旧页面,是,FALSE
883,男,11,高,旧页面,否,FALSE
884,男,6,高,新页面,否,FALSE
885,女,375,高,旧页面,是,TRUE
886,男,9,高,旧页面,否,FALSE
887,男,4,高,旧页面,否,FALSE
888,女,57,高,新页面,是,FALSE
889,男,2,高,新页面,否,FALSE
890,男,39,高,旧页面,否,FALSE
891,男,8,高,旧页面,否,FALSE
892,男,1,高,旧页面,否,FALSE
893,男,7,高,旧页面,否,FALSE
894,男,2,高,新页面,否,FALSE
895,女,51,高,旧页面,是,FALSE
896,男,4,高,新页面,否,FALSE
897,男,0,高,旧页面,否,FALSE
898,男,54,高,旧页面,否,TRUE
899,男,10,高,旧页面,否,FALSE
900,男,11,高,新页面,否,FALSE
901,男,3,高,新页面,否,FALSE
902,男,35,高,旧页面,否,TRUE
903,男,39,高,新页面,否,FALSE
904,男,7,高,旧页面,否,FALSE
905,女,19,高,新页面,是,FALSE
906,女,3,高,新页面,是,FALSE
907,男,7,高,旧页面,否,FALSE
908,女,6,高,新页面,是,FALSE
909,女,109,高,新页面,是,FALSE
910,女,106,高,新页面,是,FALSE
911,男,0,高,新页面,否,FALSE
912,女,158,高,新页面,是,TRUE
913,女,60,高,旧页面,是,FALSE
914,男,0,高,新页面,否,FALSE
915,女,13,高,旧页面,是,FALSE
916,男,35,高,旧页面,否,FALSE
917,男,7,高,新页面,否,FALSE
918,女,29,高,旧页面,是,TRUE
919,男,0,高,新页面,否,FALSE
920,男,9,高,旧页面,否,FALSE
921,女,73,高,旧页面,是,FALSE
922,男,2,高,新页面,否,FALSE
923,男,0,高,旧页面,否,TRUE
924,男,5,高,旧页面,否,FALSE
925,男,10,高,旧页面,否,FALSE
926,男,10,高,新页面,否,FALSE
927,女,5,高,旧页面,是,FALSE
928,女,52,高,新页面,是,FALSE
929,女,56,高,新页面,是,FALSE
930,女,42,高,新页面,是,TRUE
931,男,26,高,旧页面,否,FALSE
932,男,19,高,新页面,否,FALSE
933,女,20,高,旧页面,是,FALSE
934,男,34,高,新页面,否,FALSE
935,男,1,高,新页面,否,FALSE
936,女,7,高,旧页面,是,FALSE
937,男,77,高,新页面,否,FALSE
938,男,9,高,旧页面,否,FALSE
939,男,0,高,新页面,否,FALSE
940,女,41,高,新页面,是,FALSE
941,女,26,高,旧页面,是,FALSE
942,男,11,高,新页面,否,FALSE
943,女,260,高,新页面,是,TRUE
944,女,86,高,旧页面,是,TRUE
945,男,47,高,新页面,否,TRUE
946,女,175,高,旧页面,是,FALSE
947,女,28,高,旧页面,是,FALSE
948,男,11,高,旧页面,否,FALSE
949,男,25,高,旧页面,否,FALSE
950,女,44,高,新页面,是,TRUE
951,女,81,高,旧页面,是,TRUE
952,女,47,高,新页面,是,FALSE
953,女,37,高,旧页面,是,FALSE
954,女,11,高,旧页面,是,FALSE
955,男,3,高,旧页面,否,FALSE
956,男,2,高,旧页面,否,FALSE
957,女,26,高,旧页面,是,FALSE
958,男,2,高,新页面,否,FALSE
959,男,0,高,旧页面,否,FALSE
960,男,8,高,旧页面,否,FALSE
961,女,11,高,新页面,是,FALSE
962,男,23,高,旧页面,否,FALSE
963,女,3,高,新页面,是,FALSE
964,男,123,高,旧页面,否,TRUE
965,男,2,高,旧页面,否,FALSE
966,女,104,高,新页面,是,FALSE
967,女,28,高,新页面,是,FALSE
968,男,1,高,新页面,否,FALSE
969,女,21,高,新页面,是,FALSE
970,男,3,高,新页面,否,FALSE
971,女,281,高,旧页面,是,TRUE
972,女,19,高,新页面,是,FALSE
973,男,20,高,旧页面,否,FALSE
974,男,240,高,旧页面,否,TRUE
975,男,2,高,旧页面,否,FALSE
976,女,69,高,新页面,是,TRUE
977,男,33,高,旧页面,否,FALSE
978,男,15,高,旧页面,否,FALSE
979,女,14,高,新页面,是,FALSE
980,女,45,高,旧页面,是,FALSE
981,男,17,高,新页面,否,FALSE
982,女,275,高,新页面,是,TRUE
983,女,11,高,旧页面,是,FALSE
984,女,317,高,旧页面,是,FALSE
985,男,2,高,新页面,否,FALSE
986,男,1,高,新页面,否,FALSE
987,女,90,高,旧页面,是,FALSE
988,女,15,高,旧页面,是,FALSE
989,女,90,高,新页面,是,FALSE
990,男,14,高,新页面,否,FALSE
991,男,6,高,新页面,否,FALSE
992,女,190,高,旧页面,是,FALSE
993,女,11,高,新页面,是,FALSE
994,女,142,高,旧页面,是,TRUE
995,男,8,高,新页面,否,FALSE
996,男,50,高,旧页面,否,FALSE
997,男,3,高,旧页面,否,FALSE
998,男,6,高,新页面,否,FALSE
999,男,192,高,新页面,否,TRUE
1000,男,8,高,旧页面,否,FALSE
1001,男,0,高,新页面,否,FALSE
1002,男,28,高,旧页面,否,FALSE
1003,男,343,高,新页面,否,TRUE
1004,女,6,高,旧页面,是,FALSE
1005,男,10,高,旧页面,否,TRUE
1006,女,2,高,旧页面,是,FALSE
1007,男,3,高,旧页面,否,FALSE
1008,男,11,高,新页面,否,FALSE
1009,女,191,高,旧页面,是,TRUE
1010,男,2,高,旧页面,否,FALSE
1011,男,3,高,新页面,否,FALSE
1012,男,45,高,旧页面,否,FALSE
1013,女,8,高,新页面,是,TRUE
1014,女,20,高,新页面,是,FALSE
1015,男,16,高,旧页面,否,FALSE
1016,男,18,高,旧页面,否,FALSE
1017,男,52,高,新页面,否,FALSE
1018,男,3,高,旧页面,否,FALSE
1019,男,2,高,旧页面,否,FALSE
1020,男,3,高,新页面,否,FALSE
1021,男,4,高,旧页面,否,FALSE
1022,男,8,高,旧页面,否,FALSE
1023,男,19,高,新页面,否,FALSE
1024,女,3,高,旧页面,是,FALSE
1025,男,4,高,旧页面,否,FALSE
1026,男,65,高,新页面,否,FALSE
1027,男,1,高,旧页面,否,FALSE
1028,女,199,高,旧页面,是,TRUE
1029,女,24,高,旧页面,是,FALSE
1030,男,3,高,新页面,否,FALSE
1031,女,74,高,新页面,是,FALSE
1032,女,197,高,旧页面,是,TRUE
1033,男,40,高,旧页面,否,FALSE
1034,男,9,高,新页面,否,FALSE
1035,男,29,高,新页面,否,FALSE
1036,女,66,高,新页面,是,FALSE
1037,女,48,高,新页面,是,FALSE
1038,男,14,高,新页面,否,FALSE
1039,男,15,高,新页面,否,FALSE
1040,女,50,高,旧页面,是,FALSE
1041,男,2,高,旧页面,否,FALSE
1042,女,39,高,新页面,是,FALSE
1043,男,16,高,旧页面,否,FALSE
1044,女,6,高,旧页面,是,FALSE
1045,男,124,高,新页面,否,TRUE
1046,男,0,高,新页面,否,FALSE
1047,男,4,高,新页面,否,FALSE
1048,女,93,高,旧页面,是,TRUE
1049,女,41,高,旧页面,是,FALSE
1050,男,2,高,旧页面,否,FALSE
1051,女,16,高,旧页面,是,FALSE
1052,男,8,高,旧页面,否,FALSE
1053,男,4,高,新页面,否,FALSE
1054,女,38,高,旧页面,是,FALSE
1055,女,91,高,旧页面,是,TRUE
1056,男,19,高,旧页面,否,FALSE
1057,女,344,高,旧页面,是,TRUE
1058,男,73,高,新页面,否,FALSE
1059,男,11,高,新页面,否,FALSE
1060,女,2,高,旧页面,是,FALSE
1061,女,51,高,旧页面,是,FALSE
1062,男,1,高,旧页面,否,FALSE
1063,女,33,高,新页面,是,TRUE
1064,女,142,高,新页面,是,FALSE
1065,女,44,高,旧页面,是,FALSE
1066,女,44,高,新页面,是,FALSE
1067,女,222,高,旧页面,是,TRUE
1068,男,11,高,旧页面,否,FALSE
1069,男,14,高,新页面,否,FALSE
1070,男,6,高,新页面,否,FALSE
1071,女,12,高,旧页面,是,FALSE
1072,女,15,高,新页面,是,FALSE
1073,女,200,高,旧页面,是,TRUE
1074,女,6,高,新页面,是,FALSE
1075,男,35,高,旧页面,否,FALSE
1076,男,3,高,旧页面,否,FALSE
1077,男,5,高,旧页面,否,TRUE
1078,男,13,高,旧页面,否,FALSE
1079,女,17,高,旧页面,是,FALSE
1080,男,3,高,旧页面,否,FALSE
1081,女,43,高,旧页面,是,FALSE
1082,女,4,高,新页面,是,FALSE
1083,男,2,高,新页面,否,FALSE
1084,男,64,高,新页面,否,FALSE
1085,男,399,高,旧页面,否,TRUE
1086,女,60,高,旧页面,是,FALSE
1087,女,216,高,新页面,是,FALSE
1088,女,42,高,新页面,是,FALSE
1089,女,18,高,新页面,是,FALSE
1090,男,15,高,新页面,否,FALSE
1091,男,1,高,新页面,否,FALSE
1092,男,14,高,旧页面,否,FALSE
1093,男,129,高,旧页面,否,TRUE
1094,男,2,高,新页面,否,FALSE
1095,男,2,高,新页面,否,FALSE
1096,男,26,高,旧页面,否,FALSE
1097,女,12,高,旧页面,是,FALSE
1098,男,13,高,新页面,否,FALSE
1099,女,17,高,新页面,是,FALSE
1100,女,13,高,新页面,是,FALSE
1101,男,7,高,旧页面,否,FALSE
1102,女,23,高,旧页面,是,FALSE
1103,男,33,高,旧页面,否,FALSE
1104,男,38,高,旧页面,否,FALSE
1105,女,36,高,新页面,是,TRUE
1106,女,55,高,新页面,是,FALSE
1107,女,159,高,旧页面,是,TRUE
1108,男,11,高,旧页面,否,FALSE
1109,男,4,高,旧页面,否,FALSE
1110,男,2,高,旧页面,否,FALSE
1111,女,69,高,新页面,是,TRUE
1112,女,74,高,旧页面,是,FALSE
1113,男,4,高,旧页面,否,FALSE
1114,男,4,高,旧页面,否,FALSE
1115,女,113,高,旧页面,是,FALSE
1116,男,1,高,旧页面,否,FALSE
1117,男,5,高,新页面,否,FALSE
1118,男,0,高,新页面,否,FALSE
1119,女,36,高,新页面,是,FALSE
1120,女,139,高,新页面,是,TRUE
1121,女,79,高,新页面,是,FALSE
1122,女,50,高,旧页面,是,FALSE
1123,男,11,高,新页面,否,FALSE
1124,女,331,高,旧页面,是,TRUE
1125,男,12,高,旧页面,否,FALSE
1126,女,29,高,新页面,是,FALSE
1127,男,26,高,新页面,否,FALSE
1128,女,117,高,新页面,是,FALSE
1129,女,7,高,新页面,是,FALSE
1130,男,23,高,新页面,否,FALSE
1131,男,26,高,新页面,否,FALSE
1132,男,2,高,新页面,否,FALSE
1133,女,40,高,新页面,是,FALSE
1134,男,15,高,旧页面,否,FALSE
1135,女,32,高,新页面,是,FALSE
1136,女,10,高,新页面,是,FALSE
1137,女,432,高,旧页面,是,TRUE
1138,男,2,高,新页面,否,FALSE
1139,女,8,高,旧页面,是,FALSE
1140,女,16,高,新页面,是,FALSE
1141,女,148,高,新页面,是,TRUE
1142,男,2,高,旧页面,否,FALSE
1143,男,2,高,旧页面,否,FALSE
1144,男,1,高,新页面,否,FALSE
1145,男,4,高,旧页面,否,FALSE
1146,男,4,高,旧页面,否,TRUE
1147,女,149,高,旧页面,是,TRUE
1148,男,13,高,旧页面,否,FALSE
1149,男,5,高,新页面,否,FALSE
1150,男,21,高,旧页面,否,TRUE
1151,男,80,高,旧页面,否,TRUE
1152,男,1,高,新页面,否,FALSE
1153,男,0,高,新页面,否,FALSE
1154,男,12,高,旧页面,否,FALSE
1155,男,1,高,新页面,否,FALSE
1156,男,9,高,旧页面,否,FALSE
1157,男,15,高,旧页面,否,FALSE
1158,男,13,高,旧页面,否,FALSE
1159,女,9,高,新页面,是,FALSE
1160,女,12,高,旧页面,是,FALSE
1161,男,2,高,新页面,否,FALSE
1162,男,7,高,旧页面,否,FALSE
1163,男,45,高,旧页面,否,FALSE
1164,男,18,高,旧页面,否,FALSE
1165,女,43,高,新页面,是,TRUE
1166,女,284,高,新页面,是,TRUE
1167,女,9,高,旧页面,是,FALSE
1168,男,5,高,新页面,否,FALSE
1169,女,181,高,旧页面,是,TRUE
1170,女,21,高,新页面,是,FALSE
1171,男,27,高,新页面,否,FALSE
1172,女,39,高,旧页面,是,FALSE
1173,女,19,高,新页面,是,TRUE
1174,女,32,高,新页面,是,FALSE
1175,女,75,高,旧页面,是,TRUE
1176,男,0,高,新页面,否,FALSE
1177,男,10,高,旧页面,否,FALSE
1178,女,34,高,新页面,是,FALSE
1179,女,4,高,旧页面,是,FALSE
1180,男,22,高,旧页面,否,FALSE
1181,女,16,高,新页面,是,FALSE
1182,女,59,高,旧页面,是,TRUE
1183,女,231,高,旧页面,是,TRUE
1184,男,2,高,旧页面,否,FALSE
1185,男,8,高,新页面,否,FALSE
1186,男,0,高,新页面,否,FALSE
1187,男,3,高,新页面,否,FALSE
1188,女,311,高,旧页面,是,TRUE
1189,男,6,高,新页面,否,FALSE
1190,女,103,高,新页面,是,TRUE
1191,男,80,高,旧页面,否,TRUE
1192,男,2,高,新页面,否,FALSE
1193,女,70,高,旧页面,是,TRUE
1194,男,10,高,新页面,否,FALSE
1195,男,3,高,新页面,否,FALSE
1196,女,27,高,旧页面,是,FALSE
1197,男,2,高,新页面,否,FALSE
1198,男,51,高,旧页面,否,TRUE
1199,女,81,高,旧页面,是,FALSE
1200,男,28,高,新页面,否,FALSE
1201,男,13,高,新页面,否,FALSE
1202,女,44,高,旧页面,是,FALSE
1203,男,10,高,新页面,否,FALSE
1204,女,12,高,旧页面,是,FALSE
1205,男,124,高,新页面,否,TRUE
1206,男,1,高,旧页面,否,FALSE
1207,男,23,高,旧页面,否,FALSE
1208,男,36,高,新页面,否,FALSE
1209,男,6,高,旧页面,否,FALSE
1210,男,2,高,新页面,否,FALSE
1211,女,3,高,新页面,是,FALSE
1212,男,11,高,新页面,否,FALSE
1213,女,66,高,新页面,是,TRUE
1214,女,35,高,新页面,是,FALSE
1215,女,9,高,新页面,是,FALSE
1216,女,28,高,新页面,是,FALSE
1217,女,29,高,旧页面,是,FALSE
1218,男,1,高,新页面,否,FALSE
1219,男,3,高,旧页面,否,FALSE
1220,女,57,高,新页面,是,TRUE
1221,男,24,高,新页面,否,FALSE
1222,女,13,高,新页面,是,TRUE
1223,女,4,高,新页面,是,FALSE
1224,男,8,高,旧页面,否,FALSE
1225,男,1,高,旧页面,否,FALSE
1226,女,15,高,旧页面,是,FALSE
1227,男,10,高,旧页面,否,FALSE
